,name,R,Z,coil_pair
14,p1_inner,0.17549944,1.4562428,p1
14,p1_inner,0.17549944,1.418243,p1
14,p1_inner,0.17549945,1.3802432,p1
14,p1_inner,0.17549945,1.3422434,p1
14,p1_inner,0.17549947,1.3042437,p1
14,p1_inner,0.17549947,1.2662439,p1
14,p1_inner,0.17549948,1.2282442,p1
14,p1_inner,0.17549948,1.1902443,p1
14,p1_inner,0.1754995,1.1522446,p1
14,p1_inner,0.1754995,1.1142448,p1
14,p1_inner,0.17549956,1.0762451,p1
14,p1_inner,0.17549951,1.0382453,p1
14,p1_inner,0.17549951,1.0002455,p1
14,p1_inner,0.17549951,0.9622457,p1
14,p1_inner,0.17549953,0.92424595,p1
14,p1_inner,0.17549953,0.8862462,p1
14,p1_inner,0.17549953,0.8482464,p1
14,p1_inner,0.17549954,0.81024665,p1
14,p1_inner,0.17549954,0.7722469,p1
14,p1_inner,0.17549954,0.7342471,p1
14,p1_inner,0.17549954,0.69624734,p1
14,p1_inner,0.17549954,0.65824753,p1
14,p1_inner,0.17549954,0.6202478,p1
14,p1_inner,0.17549956,0.58224803,p1
14,p1_inner,0.17549956,0.5442482,p1
14,p1_inner,0.17549956,0.5062485,p1
14,p1_inner,0.17549956,0.46824867,p1
14,p1_inner,0.17549956,0.4302489,p1
14,p1_inner,0.17549956,0.3922491,p1
14,p1_inner,0.17549956,0.35424936,p1
14,p1_inner,0.17549956,0.31624958,p1
14,p1_inner,0.17549956,0.2782498,p1
14,p1_inner,0.17549957,0.24025002,p1
14,p1_inner,0.17549957,0.20225026,p1
14,p1_inner,0.17549957,0.16425048,p1
14,p1_inner,0.17549956,0.12625071,p1
14,p1_inner,0.17549956,0.08825095,p1
14,p1_inner,0.17549956,0.05025117,p1
14,p1_inner,0.17549956,0.012251399,p1
14,p1_inner,0.17549956,-0.025748374,p1
14,p1_inner,0.17549956,-0.06374814,p1
14,p1_inner,0.17549956,-0.101747915,p1
14,p1_inner,0.17549956,-0.1397477,p1
14,p1_inner,0.17549956,-0.17774747,p1
14,p1_inner,0.17549956,-0.21574724,p1
14,p1_inner,0.17549954,-0.25374702,p1
14,p1_inner,0.17549954,-0.2917468,p1
14,p1_inner,0.17549954,-0.32974654,p1
14,p1_inner,0.17549954,-0.36774632,p1
14,p1_inner,0.1754996,-0.40574604,p1
14,p1_inner,0.17549953,-0.44374588,p1
14,p1_inner,0.17549959,-0.48174557,p1
14,p1_inner,0.17549953,-0.5197454,p1
14,p1_inner,0.17549951,-0.55774516,p1
14,p1_inner,0.17549951,-0.5957449,p1
14,p1_inner,0.17549951,-0.6337447,p1
14,p1_inner,0.1754995,-0.67174447,p1
14,p1_inner,0.1754995,-0.7097443,p1
14,p1_inner,0.1754995,-0.747744,p1
14,p1_inner,0.17549948,-0.7857438,p1
14,p1_inner,0.17549948,-0.8237436,p1
14,p1_inner,0.17549947,-0.86174333,p1
14,p1_inner,0.17549947,-0.8997431,p1
14,p1_inner,0.17549945,-0.9377429,p1
14,p1_inner,0.17549945,-0.97574264,p1
14,p1_inner,0.17549944,-1.0137424,p1
14,p1_inner,0.17549944,-1.0517422,p1
14,p1_inner,0.17549942,-1.089742,p1
14,p1_inner,0.17549942,-1.1277417,p1
14,p1_inner,0.17549941,-1.1657416,p1
14,p1_inner,0.17549941,-1.2037413,p1
14,p1_inner,0.1754994,-1.2417411,p1
14,p1_inner,0.1754994,-1.2797408,p1
14,p1_inner,0.17549938,-1.3177406,p1
14,p1_inner,0.17549936,-1.3557404,p1
14,p1_inner,0.17549936,-1.3937402,p1
14,p1_inner,0.17549935,-1.4317399,p1
14,p1_inner,0.17549933,-1.4697397,p1
14,p1_inner,0.17549933,-1.5077394,p1
14,p1_inner,0.20249936,-1.5172818,p1
14,p1_inner,0.20249937,-1.4792815,p1
14,p1_inner,0.20249937,-1.4412813,p1
14,p1_inner,0.20249939,-1.4032812,p1
14,p1_inner,0.20249939,-1.365281,p1
14,p1_inner,0.2024994,-1.3272808,p1
14,p1_inner,0.20249942,-1.2892805,p1
14,p1_inner,0.20249942,-1.2512804,p1
14,p1_inner,0.20249943,-1.2132802,p1
14,p1_inner,0.20249943,-1.17528,p1
14,p1_inner,0.20249945,-1.1372797,p1
14,p1_inner,0.20249945,-1.0992796,p1
14,p1_inner,0.20249946,-1.0612794,p1
14,p1_inner,0.20249946,-1.0232792,p1
14,p1_inner,0.20249946,-0.985279,p1
14,p1_inner,0.20249948,-0.9472788,p1
